home_player,away_player,sets,resulthome,resultaway,match_number
Xiong Shao,Ilosvai Brigitta,[],3,1,1
Xiong Shao,Kaszás László,[],0,3,5
Xiong Shao,Bogyó Csaba,[],0,3,9
Xiong Shao,Dudás Balázs dr.,[],1,3,13
Lucz  Bertold,Ilosvai Brigitta,[],2,3,14
Lucz  Bertold,Kaszás László,[],2,3,2
Lucz  Bertold,Bogyó Csaba,[],2,3,6
Lucz  Bertold,Dudás Balázs dr.,[],1,3,10
Tóth András,Ilosvai Brigitta,[],3,2,11
Tóth András,Kaszás László,[],1,3,15
Tóth András,Bogyó Csaba,[],0,3,3
Tóth András,Dudás Balázs dr.,[],2,3,7
Antal Imre,Ilosvai Brigitta,[],3,0,8
Antal Imre,Kaszás László,[],3,0,12
Antal Imre,Bogyó Csaba,[],3,1,16
Antal Imre,Dudás Balázs dr.,[],3,2,4
