home_player,away_player,sets,resulthome,resultaway,match_number
Bere László,Bonnyainé Varga Éva,[],3,1,1
Bere László,Halász András,[],3,1,5
Bere László,Komár János,[],3,0,9
Bere László,Pósfai László,[],3,0,13
Székely László,Bonnyainé Varga Éva,[],1,3,14
Székely László,Halász András,[],2,3,2
Székely László,Komár János,[],3,1,6
Székely László,Pósfai László,[],1,3,10
Barabás Balázs,Bonnyainé Varga Éva,[],0,3,11
Barabás Balázs,Halász András,[],3,0,15
Barabás Balázs,Komár János,[],3,0,3
Barabás Balázs,Pósfai László,[],2,3,7
Kovács Krisztián,Bonnyainé Varga Éva,[],3,1,8
Kovács Krisztián,Halász András,[],1,3,12
Kovács Krisztián,Komár János,[],1,3,16
Kovács Krisztián,Pósfai László,[],3,1,4
