home_player,away_player,sets,resulthome,resultaway,match_number
Pergel János,Deliagosz Sztamatisz András,[],3,0,1
Pergel János,Kajcsa Tamás,[],3,0,5
Pergel János,Cseri Ádám,[],3,1,9
Pergel János,Karikás Gábor,[],3,0,13
Kapus Ferenc,Deliagosz Sztamatisz András,[],1,3,14
Kapus Ferenc,Kajcsa Tamás,[],1,3,2
Kapus Ferenc,Cseri Ádám,[],1,3,6
Kapus Ferenc,Karikás Gábor,[],1,3,10
Horváth Miklós,Deliagosz Sztamatisz András,[],3,0,11
Horváth Miklós,Kajcsa Tamás,[],3,1,15
Horváth Miklós,Cseri Ádám,[],1,3,3
Horváth Miklós,Karikás Gábor,[],1,3,7
Kardos Géza,Deliagosz Sztamatisz András,[],3,1,8
Kardos Géza,Kajcsa Tamás,[],3,0,12
Kardos Géza,Cseri Ádám,[],1,3,16
Kardos Géza,Karikás Gábor,[],2,3,4
