home_player,away_player,sets,resulthome,resultaway,match_number
Freund Tamás,Halász András,"['11-1', '11-6', '10-12', '11-1']",3,1,1
Freund Tamás,Hertelendy Amadó,"['8-11', '11-3', '15-13', '11-9']",3,1,5
Freund Tamás,Alaksa Levente,"['11-9', '11-6', '11-1']",3,0,9
Freund Tamás,Farkas Péter,"['11-7', '4-11', '9-11', '11-6']",3,2,13
Weidinger Zsolt,Halász András,"['13-11', '9-11', '4-11', '14-12']",2,3,14
Weidinger Zsolt,Hertelendy Amadó,"['10-12', '7-11', '12-14']",0,3,2
Weidinger Zsolt,Alaksa Levente,"['11-6', '5-11', '6-11', '4-11']",1,3,6
Weidinger Zsolt,Farkas Péter,"['5-11', '2-11', '8-11']",0,3,10
Tódor Attila,Halász András,"['12-10', '8-11', '9-11', '11-7']",3,2,11
Tódor Attila,Hertelendy Amadó,"['11-6', '5-11', '8-11', '6-11']",1,3,15
Tódor Attila,Alaksa Levente,"['10-12', '9-11', '5-11']",0,3,3
Tódor Attila,Farkas Péter,"['2-11', '8-11', '3-11']",0,3,7
Horváth Zoltán,Halász András,"['6-11', '13-11', '11-7', '11-4']",3,1,8
Horváth Zoltán,Hertelendy Amadó,"['11-13', '11-8', '11-7', '11-6']",3,1,12
Horváth Zoltán,Alaksa Levente,"['3-11', '8-11', '11-9', '2-11']",1,3,16
Horváth Zoltán,Farkas Péter,"['11-8', '9-11', '4-11', '11-7']",3,2,4
