home_player,away_player,sets,resulthome,resultaway,match_number
Farkas Márton,Festorazzo Krisztián,[],3,1,1
Farkas Márton,Drenyovszky Dániel,[],3,0,5
Farkas Márton,Bercsényi Marcell,[],1,3,9
Farkas Márton,Brázai Balázs Botond,[],0,3,13
Dobi László,Festorazzo Krisztián,[],3,1,14
Dobi László,Drenyovszky Dániel,[],3,0,2
Dobi László,Bercsényi Marcell,[],3,1,6
Dobi László,Brázai Balázs Botond,[],1,3,10
Tóth Tamás,Festorazzo Krisztián,[],3,0,11
Tóth Tamás,Drenyovszky Dániel,[],3,1,15
Tóth Tamás,Bercsényi Marcell,[],2,3,3
Tóth Tamás,Brázai Balázs Botond,[],1,3,7
Molnár Tibor,Festorazzo Krisztián,[],3,0,8
Molnár Tibor,Drenyovszky Dániel,[],3,2,12
Molnár Tibor,Bercsényi Marcell,[],3,0,16
Molnár Tibor,Brázai Balázs Botond,[],0,3,4
