home_player,away_player,sets,resulthome,resultaway,match_number
Nozicska József,Deák Milán,[],3,1,1
Nozicska József,Tanyi György,[],1,3,5
Nozicska József,Nemes Gábor,[],3,2,9
Nozicska József,Szántó Gyula,[],3,2,13
Kaposi Tibor,Deák Milán,[],2,3,14
Kaposi Tibor,Tanyi György,[],3,2,2
Kaposi Tibor,Nemes Gábor,[],2,3,6
Kaposi Tibor,Szántó Gyula,[],3,1,10
Weszelovszky Zoltán,Deák Milán,[],2,3,11
Weszelovszky Zoltán,Tanyi György,[],3,1,15
Weszelovszky Zoltán,Nemes Gábor,[],3,2,3
Weszelovszky Zoltán,Szántó Gyula,[],0,3,7
Nincs játékos,Deák Milán,[],0,3,8
Nincs játékos,Tanyi György,[],0,3,12
Nincs játékos,Nemes Gábor,[],0,3,16
Nincs játékos,Szántó Gyula,[],0,3,4
