position,name,license,team,matches,wins,win_percentage
1.,Gréczy Károly,8577,Csintalan-Sasok-PDSK I.,100,93,93%
2.,Krebs  Levente,15678,BVSC-Zugló IV.,74,66,89.19%
3.,Szabó Attila,8640,Honvéd Zrinyi SE I.,77,67,87.01%
4.,Tóth Károly,8413,ABC Centerline I.,100,85,85%
5.,Fehér Balázs,15712,BVSC-Zugló IV.,82,68,82.93%
6.,Rohovszky László Dr.,16290,Csintalan-Sasok-PDSK I.,96,79,82.29%
7.,Vida Dávid,15032,BVSC-Zugló IV.,90,73,81.11%
8.,Hajdu Ákos,15564,BVSC-Zugló IV.,74,58,78.38%
9.,Padla László,12582,ABC Centerline I.,100,77,77%
10.,Pintér Róbert,10371,Budai XI. SE II.,89,67,75.28%
11.,Várady Zsolt dr.,17744,Szufla SE II.,100,75,75%
12.,Laskovics Levente,9816,Szufla SE II.,92,68,73.91%
13.,Molnár Tibor,8870,MAFC II.,93,63,67.74%
14.,Pecsenyánszky István,9569,MAFC II.,61,41,67.21%
15.,Brázai Balázs Botond,16445,Kispest SE III.,92,60,65.22%
16.,Vancsura György,8519,KSI SE III.,88,55,62.5%
17.,Nagy Ferenc,10197,ÁNy Biztonsági Nyomda SK I.,100,62,62%
18.,Horváth Kálmán,15579,Szufla SE II.,92,57,61.96%
19.,Dobi László,12580,MAFC II.,84,52,61.9%
20.,Nagy Gergely,13484,Pénzügyőr SE VII.,92,54,58.7%
21.,Kávássy Lóránd,14795,Belvárosi Asztalitenisz Egyesület,96,56,58.33%
22.,Rugási László,8207,KSI Senior-KÖZGÁZ SC és DSK,104,59,56.73%
23.,Dudás István,9086,KSI SE III.,60,34,56.67%
24.,Bercsényi Marcell,17366,Kispest SE III.,100,56,56%
25.,Szűcs Gergely,13107,ABC Centerline II.,80,43,53.75%
26.,Farkas Márton,8729,MAFC II.,64,33,51.56%
27.,Tóth Tamás,8164,MAFC II.,81,41,50.62%
28.,Szekulesz Péter,10422,Budai XI. SE II.,98,49,50%
,Maczenkó Ferenc,8637,Honvéd Zrinyi SE I.,76,38,50%
30.,Olbort Attila,9548,KSI Senior-KÖZGÁZ SC és DSK,92,45,48.91%
31.,Prinyi Csaba,14743,KSI Senior-KÖZGÁZ SC és DSK,72,35,48.61%
32.,Petri Zoltán,16150,Budai XI. SE II.,86,41,47.67%
33.,Nagy Zoltán,16328,ABC Centerline II.,88,41,46.59%
34.,Nagy Ferenc,8435,KSI SE III.,72,33,45.83%
,Fail György,8568,ABC Centerline I.,72,33,45.83%
36.,Harsányi Zsolt Tamás,16932,Pénzügyőr SE VII.,92,42,45.65%
37.,Balog István,8747,ABC Centerline I.,64,28,43.75%
38.,Papp Nándor,8420,ABC Centerline II.,96,41,42.71%
39.,Szabó József,12483,Szufla SE II.,88,36,40.91%
40.,Populás György,12933,Belvárosi Asztalitenisz Egyesület,96,39,40.63%
41.,Benyhe István,10597,ÁNy Biztonsági Nyomda SK I.,88,34,38.64%
42.,Matis Ferenc,9092,Csintalan-Sasok-PDSK I.,88,33,37.5%
43.,Bősz Gábor,8566,ABC Centerline I.,76,27,35.53%
44.,Győrffy Sándor,10190,ÁNy Biztonsági Nyomda SK I.,80,27,33.75%
45.,Németh Pál,15134,KSI SE III.,88,29,32.95%
46.,Zacher Gizella,10367,Belvárosi Asztalitenisz Egyesület,100,32,32%
47.,Sólyomi Péter,17254,Csintalan-Sasok-PDSK I.,88,27,30.68%
48.,Szabó Antal,10607,KSI Senior-KÖZGÁZ SC és DSK,72,22,30.56%
49.,Domokos Róbert,13827,ÁNy Biztonsági Nyomda SK I.,92,27,29.35%
50.,Éll József,14104,Pénzügyőr SE VII.,100,26,26%
51.,Borisza Gyula,9554,KSI Senior-KÖZGÁZ SC és DSK,72,15,20.83%
52.,Drenyovszky Dániel,17164,Kispest SE III.,92,19,20.65%
53.,Kapus Ferenc,10356,Pénzügyőr SE VII.,80,16,20%
54.,Horváth Gábor,8647,Honvéd Zrinyi SE I.,69,13,18.84%
55.,Lippai László,8635,Honvéd Zrinyi SE I.,61,11,18.03%
56.,Festorazzo Krisztián,17367,Kispest SE III.,96,17,17.71%
