position,name,license,team,matches,wins,win_percentage
1.,Kaszás László,10978,ESMTK III.,60,55,91.67%
2.,Jónás Csaba,11283,Multi Sport SE I.,80,71,88.75%
3.,Takács  Attila,16944,HCTC-M-K AK II.-WASABI,96,84,87.5%
4.,Vágott János dr,8218,Pestújhelyi SC IV.,92,80,86.96%
5.,Samu Zoltán,8644,BVSC-Zugló IV.,72,61,84.72%
6.,Monostori Balázs,9130,KSI SE IV.- MIKI I.,88,74,84.09%
7.,Bodó Tivadar,14169,Budai XI SE III.,88,73,82.95%
8.,Pocsai Tibor,10180,KSI Senior-KFKI SK II.,52,42,80.77%
9.,Hachbold Tamás,12604,Pénzügyőr SE VI.,52,40,76.92%
10.,Steinbach Roland,16711,Szent Pál Akadémia-HSE I.,92,68,73.91%
,Kajcsa Tamás,17612,BVSC-Zugló IV.,92,68,73.91%
12.,Marosi Viktória dr.,17255,Budai XI SE III.,78,57,73.08%
13.,Andrasek Attila,8585,Szent Pál Akadémia-HSE I.,84,61,72.62%
,Tóth Zsolt,10831,OVIT SE II.,84,61,72.62%
15.,Kapuszta Csaba,10691,Pestújhelyi SC IV.,86,62,72.09%
16.,Tóth Gyula,13351,HCTC-M-K AK II.-WASABI,96,69,71.88%
17.,Pergel János,11634,Pénzügyőr SE VI.,62,44,70.97%
18.,Berger Árpád,17643,Budai XI SE III.,90,63,70%
19.,Kávássy Lóránd,14795,Belvárosi Asztalitenisz Egyesület,96,67,69.79%
20.,Harsányi Zsolt Tamás,16932,Pénzügyőr SE V.,87,60,68.97%
21.,Bali Péter,9169,ESMTK III.,68,46,67.65%
22.,Horgonyi-Szabó Árpád,14774,Pénzügyőr SE V.,64,41,64.06%
23.,Bencsik Gergely,9503,OVIT SE II.,77,49,63.64%
24.,Homonnai Gergely,14059,HCTC-Magyar-Kínai AK I.,60,38,63.33%
25.,Németh Bence,12781,OVIT SE II.,72,45,62.5%
26.,Gulyás István,8754,KSI Senior-KFKI SK II.,96,59,61.46%
27.,Kardos Géza,14321,Pénzügyőr SE V.,84,51,60.71%
28.,Shan Xianyi,19281,BVSC-Zugló IV.,92,55,59.78%
29.,Szabó András,10688,Pestújhelyi SC IV.,84,50,59.52%
30.,Évi Róbert,16947,ESMTK III.,73,42,57.53%
31.,Kelemen József ifj.,10166,KSI Senior-KFKI SK II.,96,54,56.25%
32.,Takács Lajos,9455,HCTC-M-K AK II.-WASABI,95,53,55.79%
33.,Szőnyi Márta,10105,KSI SE IV.- MIKI I.,70,39,55.71%
34.,Somogyi Roland,11771,OTP SK II.,88,49,55.68%
35.,Misák István,10557,HCTC-Magyar-Kínai AK I.,74,41,55.41%
36.,Kálnoky Zoltán,9087,Pestújhelyi SC IV.,88,48,54.55%
37.,Kirchmayer Richárd,13893,ESMTK III.,62,32,51.61%
38.,Farkas Ágnes,11461,OVIT SE II.,63,32,50.79%
39.,Bánkuti Csaba,9058,OVIT SE II.,68,33,48.53%
40.,Kovács Szilárd,14571,ESMTK III.,50,24,48%
41.,Deliagosz Sztamatisz András,18273,BVSC-Zugló IV.,92,44,47.83%
42.,Zacher Gizella,10367,Belvárosi Asztalitenisz Egyesület,96,44,45.83%
43.,Populás György,12933,Belvárosi Asztalitenisz Egyesület,96,43,44.79%
44.,Kőszeghy Viktória,14570,KSI SE IV.- MIKI I.,70,31,44.29%
45.,Muszta Csaba,10176,KSI Senior-KFKI SK II.,92,40,43.48%
46.,Kricsfalusy Kornél,8763,Pénzügyőr SE VI.,86,36,41.86%
47.,Szabó László,15500,HCTC-Magyar-Kínai AK I.,66,27,40.91%
48.,Borbély János,9610,OTP SK II.,80,31,38.75%
,Dibusz Tibor,17264,Multi Sport SE I.,80,31,38.75%
50.,Takács-Szentiványi Ildikó,16945,HCTC-M-K AK II.-WASABI,96,36,37.5%
51.,Lengyel Zoltán,9131,KSI SE IV.- MIKI I.,65,24,36.92%
52.,Steinbach Rajmund,16712,Szent Pál Akadémia-HSE I.,84,30,35.71%
53.,Balogh József,12215,Pénzügyőr SE VI.,64,22,34.38%
54.,Lőrincz Sándor,16122,KSI SE IV.- MIKI I.,75,25,33.33%
55.,Pálfy Gyula,14256,Szent Pál Akadémia-HSE I.,82,26,31.71%
56.,Fehérhegyi Attila,15654,Pénzügyőr SE V.,49,15,30.61%
57.,Bárány Attila,15501,HCTC-Magyar-Kínai AK I.,70,21,30%
58.,Nagy Gergely,13484,Pénzügyőr SE V.,52,13,25%
59.,Kapus Ferenc,10356,Pénzügyőr SE VI.,61,14,22.95%
60.,Tar Csaba,16137,Belvárosi Asztalitenisz Egyesület,88,19,21.59%
61.,Dezsényiné Horgos Barbara,13304,OTP SK II.,92,19,20.65%
62.,Mohácsi János,9607,OTP SK II.,68,14,20.59%
63.,Csizmás Ferenc,12931,Multi Sport SE I.,61,11,18.03%
64.,Murányi Szilvia Dóra,19084,FKF SK II.,72,10,13.89%
65.,Farkas László István,13943,FKF SK II.,78,10,12.82%
