home_player,away_player,sets,resulthome,resultaway,match_number
Rácz Zoltán,Kiss Dániel,[],1,3,1
Rácz Zoltán,Kiss György,[],3,0,5
Rácz Zoltán,Novák Balázs János,[],3,0,9
Rácz Zoltán,Litauszki Tibor Dr.,[],3,1,13
Szabó András Ákos,Kiss Dániel,[],3,1,14
Szabó András Ákos,Kiss György,[],3,2,2
Szabó András Ákos,Novák Balázs János,[],3,1,6
Szabó András Ákos,Litauszki Tibor Dr.,[],3,1,10
Gulyás Imre,Kiss Dániel,[],3,2,11
Gulyás Imre,Kiss György,[],1,3,15
Gulyás Imre,Novák Balázs János,[],0,3,3
Gulyás Imre,Litauszki Tibor Dr.,[],3,0,7
Szabó András,Kiss Dániel,[],2,3,8
Szabó András,Kiss György,[],3,1,12
Szabó András,Novák Balázs János,[],2,3,16
Szabó András,Litauszki Tibor Dr.,[],3,0,4
