home_player,away_player,sets,resulthome,resultaway,match_number
Nyári Lajos,Szekeres András,[],0,3,1
Nyári Lajos,Terényi Attila dr.,[],3,1,5
Nyári Lajos,Márki Zoltán,[],3,1,9
Nyári Lajos,Gál Péter,[],3,0,13
Murányi Szilvia Dóra,Szekeres András,[],1,3,14
Murányi Szilvia Dóra,Terényi Attila dr.,[],3,2,2
Murányi Szilvia Dóra,Márki Zoltán,[],2,3,6
Murányi Szilvia Dóra,Gál Péter,[],0,3,10
Molnár Gábor,Szekeres András,[],0,3,11
Molnár Gábor,Terényi Attila dr.,[],2,3,15
Molnár Gábor,Márki Zoltán,[],3,0,3
Molnár Gábor,Gál Péter,[],0,3,7
Lukács Lajos,Szekeres András,[],3,2,8
Lukács Lajos,Terényi Attila dr.,[],3,0,12
Lukács Lajos,Márki Zoltán,[],3,0,16
Lukács Lajos,Gál Péter,[],2,3,4
