position,name,license,team,matches,wins,win_percentage
1.,Klampár Tibor,10316,Shopsport SE,28,28,100%
2.,Leinweber Zoltán,11164,BKV Előre  SC II.,36,35,97.22%
3.,Arató János,9258,Shopsport SE,24,22,91.67%
4.,Dohoczki Tamás,8753,Budai XI SE IX.,32,28,87.5%
5.,Bertalan Krisztián,19824,Pestszentimrei PSE III.,36,31,86.11%
6.,Tokai Imre,19004,Budai XI SE VII.,32,27,84.38%
,Arlóy Zsófia,8363,Budai XI SE IX.,32,27,84.38%
8.,Gőgh József,17729,Budai XI SE VII.,31,26,83.87%
9.,Sipos Zoltán,8301,BKV Előre  SC II.,36,30,83.33%
10.,Gara Róbert,19820,SZÜV ASE I.,28,23,82.14%
11.,Szili Viktor,14619,Rákosmente AK I.,24,19,79.17%
,Farkas Dávid,19078,KSI SE VIII.,24,19,79.17%
13.,Simon Dávid,10280,Budai XI SE IX.,28,22,78.57%
,Gut Zoltán,14315,Palotai Titánok SE II.,28,22,78.57%
15.,Seprős Richárd,14796,Budai XI SE VII.,32,25,78.13%
16.,Pölöskei András,14054,SZÜV ASE I.,32,24,75%
,Bordás József,11246,Kispest SE IV.,28,21,75%
18.,Somogyi Roland,11771,OTP SK II.,32,23,71.88%
19.,Klampár-Leskó Edina,10172,KSI SE VIII.,27,19,70.37%
20.,Borbély János,9610,OTP SK II.,36,24,66.67%
,Kelemen Attila,9571,Pestszentimrei PSE III.,36,24,66.67%
22.,Dohoczki Nóra,18455,Budai XI SE IX.,32,21,65.63%
23.,Pataki Bálint Szabolcs,19825,Pestszentimrei PSE III.,36,23,63.89%
24.,Lőrincz Attila,14740,Angyalföldi TTE II.,28,17,60.71%
25.,Boros László,10086,Kőbánya SC III.,32,19,59.38%
26.,Kollát Miklós,14053,SZÜV ASE I.,36,21,58.33%
,Gut József,10134,Palotai Titánok SE II.,36,21,58.33%
28.,Szabó László,15500,HCTC-Magyar-Kínai AK I.,32,18,56.25%
29.,Székely Gábor,10108,Kőbánya SC III.,20,11,55%
30.,Bundula Csaba dr.,11765,Angyalföldi TTE II.,24,13,54.17%
31.,Ignácz Bálint,15663,HCTC-Magyar-Kínai AK I.,36,19,52.78%
,Vágó János,19195,Kispest SE IV.,36,19,52.78%
33.,Kozák Milán,15341,Kispest SE IV.,36,18,50%
,Grigolopulosz Péter,17520,Kispest SE IV.,28,14,50%
,Kajdon András,10277,Budai XI SE VII.,20,10,50%
36.,Hargitai Bence,15536,Kőbánya SC III.,32,15,46.88%
37.,Bohus Pál,17942,GALAXIS VSE II.,22,10,45.45%
38.,Szijártó József,8561,KSI SE VIII.,29,13,44.83%
39.,Mecenzóf Sándor,11171,Pestszentimrei PSE III.,21,9,42.86%
40.,Szántó Sándor,10195,Shopsport SE,24,10,41.67%
41.,Kurilla János,17812,FKF SK III.,30,12,40%
42.,Kádár Mihály,9091,KSI SE VIII.,28,11,39.29%
43.,Mórocz Tamás,14056,SZÜV ASE I.,24,9,37.5%
44.,Szabó Attila,16215,FKF SK III.,36,13,36.11%
45.,Szőke Zoltán,9185,Angyalföldi TTE II.,28,10,35.71%
,Mészáros Péter Pál,19543,FKF SK III.,28,10,35.71%
47.,Füzesi Botond Dr.,13932,Rákosmente AK I.,28,9,32.14%
48.,Erdélyi László,12193,BKV Előre  SC II.,36,11,30.56%
,Azari Szabolcs,17764,HCTC-Magyar-Kínai AK I.,36,11,30.56%
50.,Mosdósi Adrián,16962,FKF SK III.,24,7,29.17%
51.,Mohácsi János,9607,OTP SK II.,28,8,28.57%
52.,Dezsényiné Horgos Barbara,13304,OTP SK II.,36,10,27.78%
53.,Mókus Miklós,17952,GALAXIS VSE II.,33,9,27.27%
54.,Vámosi Benjamin,18431,KSI SE VIII.,20,5,25%
,Kakucs Tamás,19832,Angyalföldi TTE II.,20,5,25%
56.,Sápi Zoltán Dr.,14135,BKV Előre  SC II.,32,7,21.88%
,Herczeg Tamás,19432,GALAXIS VSE II.,32,7,21.88%
58.,Szilágyi László,10107,Kőbánya SC III.,32,6,18.75%
59.,Kis Szilárd,13933,Rákosmente AK I.,36,5,13.89%
60.,Kincses Milán,18943,HCTC-Magyar-Kínai AK I.,35,4,11.43%
61.,Szuhanyik György,17953,GALAXIS VSE II.,31,3,9.68%
62.,Hanó Csaba,19412,Palotai Titánok SE II.,28,2,7.14%
