home_player,away_player,sets,resulthome,resultaway,match_number
Nozicska József,Lipka Zsolt,[],3,1,1
Nozicska József,Kisgéczi Domonkos,[],3,0,5
Nozicska József,Nagy Gábor Zsolt,[],3,0,9
Nozicska József,Vadász Csaba,[],3,1,13
Bicsák Bettina,Lipka Zsolt,[],2,3,14
Bicsák Bettina,Kisgéczi Domonkos,[],3,2,2
Bicsák Bettina,Nagy Gábor Zsolt,[],1,3,6
Bicsák Bettina,Vadász Csaba,[],0,3,10
Sáhó Benjamin,Lipka Zsolt,[],3,2,11
Sáhó Benjamin,Kisgéczi Domonkos,[],3,2,15
Sáhó Benjamin,Nagy Gábor Zsolt,[],2,3,3
Sáhó Benjamin,Vadász Csaba,[],0,3,7
Nincs játékos,Lipka Zsolt,[],0,3,8
Nincs játékos,Kisgéczi Domonkos,[],0,3,12
Nincs játékos,Nagy Gábor Zsolt,[],0,3,16
Nincs játékos,Vadász Csaba,[],0,3,4
