position,name,license,team,matches,wins,win_percentage
1.,Kárpáti Ágoston,17582,BVSC-Zugló V.,92,84,91.3%
2.,Botár Attila,12343,Törekvés SE,106,96,90.57%
3.,Demeter József,11463,Budai XI SE VI.-Dunaholding,84,76,90.48%
4.,Bodó Tivadar,14169,Budai XI SE VIII.,104,92,88.46%
5.,Karikás Gábor,11808,BVSC-Zugló V.,108,93,86.11%
6.,Buck György,11241,Kispest SE IV.,92,75,81.52%
7.,Schrammel Cintia Anita,15994,KSI SE V.,108,83,76.85%
8.,Álló József,10051,Kispest SE IV.,104,77,74.04%
9.,Tóth Jánosné,12465,Törekvés SE,102,74,72.55%
10.,Markovits I Tamás,9821,Puskás DSK II.,116,84,72.41%
11.,Berger Árpád,17643,Budai XI SE VIII.,104,75,72.12%
12.,Graur Tamás,9942,Budai XI. SE V.,88,63,71.59%
13.,Kellner Attila,14052,Budai XI. SE V.,108,76,70.37%
14.,Cseri Ádám,17751,BVSC-Zugló V.,104,73,70.19%
15.,Erdei István,15763,ESMTK IV.,113,75,66.37%
16.,Matolcsi Márta,17648,Budai XI SE VIII.,84,55,65.48%
17.,Bercsényi Tibor,14185,Kispest SE IV.,84,54,64.29%
18.,La Roche István,10489,Ikarus BSE II.,98,62,63.27%
19.,Bedő Balázs,10646,Budai XI SE VIII.,108,66,61.11%
20.,Tóth Krisztián,14741,Szufla SE IV.,100,60,60%
21.,Lehel László,9822,Puskás DSK II.,116,68,58.62%
22.,Molnár Levente,12820,Budai XI. SE V.,96,56,58.33%
23.,Tóth Dezső,11766,Szufla SE IV.,92,50,54.35%
24.,Andrásik Ilona,12762,Budai XI SE VI.-Dunaholding,104,56,53.85%
25.,Csima Viktor,8031,ESMTK IV.,100,53,53%
26.,Darvas László,8620,Puskás DSK II.,116,60,51.72%
27.,Biczó Márton,11254,Puskás DSK II.,120,62,51.67%
28.,Nyeste Gábor,12536,Budai XI. SE V.,96,48,50%
,Janzsó Gergely,17830,BPPK SE I.-túróSCsusza,88,44,50%
30.,Papp Sándor,17841,Palotai Titánok SE I.,104,50,48.08%
31.,Kovács Zoltán,8596,ESMTK IV.,85,38,44.71%
32.,Füvessy Lajos,9271,KSI SE V.,92,39,42.39%
33.,Váczi Attila Mihály,16351,BEAC I.,112,44,39.29%
34.,Arató András,12765,Budai XI SE VI.-Dunaholding,100,34,34%
35.,Zag Viktor,10559,Sanitas-Budó SE VI.,120,38,31.67%
36.,Terényi Attila dr.,16129,BPPK SE I.-túróSCsusza,96,29,30.21%
37.,Bottyán László,10159,KFKI SK III.,100,30,30%
38.,Seregi László dr,10366,Sanitas-Budó SE VI.,104,27,25.96%
39.,Wiener Gábor,10594,BEAC I.,96,22,22.92%
40.,Vass Mária,8750,Ikarus BSE II.,106,23,21.7%
41.,Márton Géza,11709,Sanitas-Budó SE VI.,96,17,17.71%
42.,Rigó József,16253,Ikarus BSE II.,94,12,12.77%
