home_player,away_player,sets,resulthome,resultaway,match_number
Dohoczki Nóra,Berec Tomislav,[],3,1,1
Dohoczki Nóra,Baczakó Károly,[],3,0,5
Dohoczki Nóra,Bundula Csaba dr.,[],3,1,9
Dohoczki Nóra,Nincs játékos,[],3,0,13
Dohoczki TamásBulla József,Berec Tomislav,[],0,3,14
Dohoczki TamásBulla József,Baczakó Károly,[],3,0,2
Dohoczki TamásBulla József,Bundula Csaba dr.,[],3,0,6
Dohoczki TamásBulla József,Nincs játékos,[],3,0,10
Ardai Emese,Berec Tomislav,[],3,2,11
Ardai Emese,Baczakó Károly,[],3,0,15
Ardai Emese,Bundula Csaba dr.,[],1,3,3
Ardai Emese,Nincs játékos,[],3,0,7
Móricz Ferenc,Berec Tomislav,[],2,3,8
Móricz Ferenc,Baczakó Károly,[],3,0,12
Móricz Ferenc,Bundula Csaba dr.,[],1,3,16
Móricz Ferenc,Nincs játékos,[],3,0,4
