home_player,away_player,sets,resulthome,resultaway,match_number
Petri Zoltán,Szilágyi László,[],3,0,1
Petri Zoltán,Borbély Andor,[],3,0,5
Petri Zoltán,Boros László,[],3,1,9
Petri Zoltán,Évi Róbert,[],3,1,13
Molnár Levente,Szilágyi László,[],3,0,14
Molnár Levente,Borbély Andor,[],1,3,2
Molnár Levente,Boros László,[],2,3,6
Molnár Levente,Évi Róbert,[],0,3,10
Graur Tamás,Szilágyi László,[],3,0,11
Graur Tamás,Borbély Andor,[],3,2,15
Graur Tamás,Boros László,[],3,1,3
Graur Tamás,Évi Róbert,[],0,3,7
Kellner Attila,Szilágyi László,[],3,0,8
Kellner Attila,Borbély Andor,[],3,1,12
Kellner Attila,Boros László,[],3,0,16
Kellner Attila,Évi Róbert,[],1,3,4
